ID,Project Code,PO / SO #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Lead Time (Days)
5058,116-ZA-T01,SCMS-41465,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,2009-03-18,2009-06-25,2009-06-25,25-Jun-09,ARV,Pediatric,S. BUYS WHOLESALER,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,108,610.2,5.65,0.02,"Aurobindo Unit III, India",Yes,,,1.2,99.0
5059,116-ZA-T01,SCMS-41586,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,2009-03-27,2009-06-25,2009-04-15,15-Apr-09,ARV,Adult,S. BUYS WHOLESALER,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,9620,68109.6,7.08,0.12,"Aurobindo Unit III, India",Yes,,,133.49,19.0
5066,144-BW-T01,SCMS-41890,Botswana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2009-03-25,2009-04-17,2009-04-17,17-Apr-09,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,,Test kit,100,20,7000.0,350.0,3.5,"Pacific Biotech, Thailand",Yes,48.0,1119.99,13.72,23.0
5076,116-ZA-T01,SCMS-42260,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,2009-04-02,2009-04-21,2009-04-17,17-Apr-09,ARV,Adult,S. BUYS WHOLESALER,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,250,5315.0,21.26,0.71,"Aspen-OSD, Port Elizabeth, SA",Yes,,,10.42,15.0
5081,116-ZA-T01,SCMS-42430,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,,2009-05-15,2009-05-15,15-May-09,ARV,Pediatric,S. BUYS WHOLESALER,"Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",Efavirenz,Stocrin/Sustiva,200mg,Capsule,90,100,3220.0,32.2,0.36,"MSD Midrand, J'burg, SA",Yes,,,6.31,
5083,116-ZA-T01,SCMS-47380,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,2009-04-02,2009-05-15,2009-04-21,21-Apr-09,ARV,Adult,S. BUYS WHOLESALER,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,400,14400.0,36.0,0.3,ABBVIE Ludwigshafen Germany,Yes,,,28.22,19.0
5113,107-RW-T01,SCMS-43900,Rwanda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,2009-07-15,2009-08-12,2009-08-12,12-Aug-09,ARV,Adult,HETERO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,28034,195677.32,6.98,0.23,Hetero Unit III Hyderabad IN,Yes,2268.0,19023.36,383.53,28.0
5114,123-NG-T01,SCMS-43960,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2009-04-10,2009-09-03,2009-09-03,3-Sep-09,ACT,ACT,MISSIONPHARMA A/S,"Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 18 Tabs",Artemether/Lumefantrine,Coartem,20/120mg,Tablet - FDC + blister,540,2000,70420.0,35.21,0.07,"Novartis Pharma Suffern, USA",Yes,1250.0,17170.07,138.02,146.0
5119,104-CI-T01,SCMS-44050,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2009-04-15,2009-06-10,2009-06-09,9-Jun-09,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,,Test kit,40,476,52360.0,110.0,2.75,Bio-Rad Laboratories,Yes,534.0,9471.52,102.63,55.0
5120,104-CI-T01,SCMS-44050,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2009-04-15,2009-06-10,2009-06-17,17-Jun-09,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,,Test kit,40,18,1980.0,110.0,2.75,Bio-Rad Laboratories,Yes,20.0,2199.43,3.88,63.0
5147,119-NA-T01,SCMS-44970,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2009-04-29,2009-05-27,2009-05-27,27-May-09,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,6760,216320.0,32.0,1.6,"Trinity Biotech, Plc",Yes,2261.0,17643.81,423.99,28.0
5175,109-TZ-T01,SCMS-46500,Tanzania,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,2009-05-28,2009-07-30,2009-07-30,30-Jul-09,ARV,Adult,Hoffmann-La Roche ltd Basel,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Saquinavir,Invirase,200mg,Capsule,270,820,73074.13,89.11,0.33,Roche Basel,Yes,424.0,3310.89,143.23,63.0
5194,116-ZA-T01,SCMS-47050,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,2009-06-05,2009-10-12,2009-07-21,21-Jul-09,ARV,Adult,S. BUYS WHOLESALER,"Abacavir 300mg [Ziagen], tablets, Blister 6 x 10 Tabs",Abacavir,Ziagen,300mg,Tablet - blister,60,30,1081.8,36.06,0.6,GSK Ware (UK),No,,,2.12,46.0
5195,116-ZA-T01,SCMS-47051,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,2009-06-05,2009-10-12,2009-07-28,28-Jul-09,ARV,Adult,S. BUYS WHOLESALER,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,200,8396.0,41.98,0.35,ABBVIE Ludwigshafen Germany,No,,,16.46,53.0
5199,141-NA-T01,SCMS-47160,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2009-06-04,2009-09-01,2009-09-01,1-Sep-09,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Clearview Complete Kit, 25 Tests","HIV 1/2, Clearview Complete Kit",Clearview,,Test kit,25,4,300.0,75.0,3.0,Chembio Diagnostics Sys. Inc.,Yes,4.0,133.25,0.59,89.0
5201,104-CI-T01,SCMS-42241,Côte d'Ivoire,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,2009-03-30,2009-09-15,2009-09-15,15-Sep-09,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,20,822.0,41.1,0.14,ABBVIE (Abbott) Logis. UK,Yes,,,1.61,169.0
5233,100-CI-T01,SCMS-3,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2006-05-02,2006-05-02,2-May-06,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, (no accessories), 30 Tests","HIV 1/2, Bioline 3.0 Kit (no accessories)",Bioline,,Test kit,30,31,734.7,23.7,0.79,"Standard Diagnostics, Korea",Yes,11.0,515.32,,
5243,104-CI-T01,SCMS-40,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2006-08-08,2006-08-08,8-Aug-06,HRDT,HIV test,RANBAXY Fine Chemicals LTD.,"HIV, Reveal G3 Rapid HIV-1 Antibody Test, 30 Tests","HIV, Reveal G3 Rapid HIV-1 Antibody Test",Reveal,,Test kit,30,19,551.0,29.0,0.97,Ranbaxy Fine Chemicals LTD,Yes,13.0,859.53,,
